MariaDB [jtyndale]> source queries.sql;
+-----------+----------------+---------------+--------------+
| member_ID | ISBN           | checkout_date | checkin_date |
|      2007 | 96-42103-10068 | 2016-4-19     | 2016-4-20    |
|      2007 | 96-42103-10709 | 2016-3-13     | 2016-3-17    |
|      2008 | 96-42103-10502 | 2016-3-12     | 2016-3-14    |
|      2008 | 96-42103-11003 | 2016-4-4      | 2016-4-8     |
|      2009 | 96-42103-10002 | 2016-4-12     | 2016-4-13    |
|      2009 | 96-42103-10007 | 2016-3-7      | 2016-3-13    |
|      2009 | 96-42103-10009 | 2016-3-20     | 2016-3-22    |
|      2009 | 96-42103-10022 | 2016-3-24     | 2016-3-30    |
|      2009 | 96-42103-10022 | 2016-4-10     | 2016-4-10    |
|      2009 | 96-42103-10033 | 2016-4-30     | 2016-5-2     |
|      2009 | 96-42103-10054 | 2016-4-29     | 2016-5-2     |
|      2009 | 96-42103-10709 | 2016-4-12     | 2016-4-15    |
|      2009 | 96-42103-10709 | 2016-4-30     | 2016-5-3     |
|      2011 | 96-42103-10006 | 06/10/2016    |              |
|      2011 | 96-42103-10011 | 06/10/2016    |              |
|      2011 | 96-42103-10011 | 2016-3-9      | 2016-3-11    |
|      2011 | 96-42103-10040 | 2016-3-10     | 2016-3-16    |
|      2011 | 96-42103-10081 | 2016-3-15     | 2016-3-20    |
|      2011 | 96-42103-10093 | 2016-4-20     | 2016-4-20    |
|      2011 | 96-42103-10800 | 2016-5-29     | 06/10/2016   |
|      2011 | 96-42103-11003 | 2016-3-6      | 2016-3-8     |
|      2012 | 96-42103-10002 | 2016-5-27     | 06/10/2016   |
|      2012 | 96-42103-10006 | 2016-3-24     | 2016-3-28    |
|      2012 | 96-42103-10008 | 2016-4-26     | 2016-4-28    |
|      2012 | 96-42103-10009 | 2016-3-28     | 2016-3-29    |
|      2012 | 96-42103-10604 | 06/10/2016    |              |
|      2012 | 96-42103-10709 | 06/10/2016    |              |
|      2012 | 96-42103-11003 | 2016-4-4      | 2016-4-9     |
|      2013 | 96-42103-10008 | 2016-4-19     | 2016-4-23    |
|      2013 | 96-42103-10033 | 2016-5-17     | 2016-5-21    |
|      2013 | 96-42103-10054 | 2016-3-26     | 2016-3-29    |
|      2015 | 96-42103-10009 | 2016-3-15     | 2016-3-19    |
|      2016 | 96-42103-10001 | 2016-4-7      | 2016-4-8     |
|      2016 | 96-42103-10033 | 2016-4-28     | 2016-4-30    |
|      2016 | 96-42103-10206 | 2016-5-15     | 2016-5-15    |
|      2016 | 96-42103-10206 | 2016-5-9      | 2016-5-14    |
|      2016 | 96-42103-10907 | 2016-3-21     | 2016-3-22    |
|      2016 | 96-42103-10907 | 2016-3-6      | 2016-3-8     |
|      2016 | 96-42103-10907 | 2016-4-22     | 2016-4-28    |
|      2017 | 96-42103-10004 | 2016-3-14     | 2016-3-16    |
|      2017 | 96-42103-10093 | 2016-3-19     | 2016-3-23    |
|      2017 | 96-42103-10300 | 2016-5-1      | 2016-5-5     |
|      2017 | 96-42103-10300 | 2016-5-20     | 2016-5-26    |
|      2017 | 96-42103-10709 | 2016-4-20     | 2016-4-25    |
|      2018 | 96-42103-10004 | 2016-3-25     | 2016-3-27    |
|      2018 | 96-42103-10008 | 2016-5-10     | 2016-5-10    |
|      2018 | 96-42103-10033 | 2016-3-5      | 2016-3-7     |
|      2018 | 96-42103-10033 | 2016-4-1      | 2016-4-7     |
|      2018 | 96-42103-10206 | 2016-3-5      | 2016-3-11    |
|      2018 | 96-42103-10206 | 2016-5-12     | 2016-5-17    |
|      2018 | 96-42103-10300 | 2016-4-5      | 2016-4-10    |
|      2018 | 96-42103-10709 | 2016-4-20     | 2016-4-25    |
|      2018 | 96-42103-10907 | 2016-3-16     | 2016-3-20    |
|      2019 | 96-42103-10009 | 2016-3-11     | 2016-3-12    |
|      2020 | 96-42103-10022 | 2016-4-9      | 2016-4-10    |
|      2020 | 96-42103-10093 | 2016-4-8      | 2016-4-12    |
|      2020 | 96-42103-10206 | 2016-5-13     | 2016-5-18    |
|      2020 | 96-42103-10401 | 2016-5-29     | 06/11/2016   |
|      2020 | 96-42103-10709 | 06/11/2016    |              |
|      2021 | 96-42103-10001 | 2016-5-21     | 2016-5-26    |
|      2021 | 96-42103-10033 | 2016-3-14     | 2016-3-16    |
|      2021 | 96-42103-10054 | 2016-4-29     | 2016-4-30    |
|      2022 | 96-42103-10003 | 2016-5-6      | 2016-5-9     |
|      2022 | 96-42103-10009 | 2016-3-25     | 2016-3-29    |
|      2022 | 96-42103-10011 | 2016-5-3      | 2016-5-6     |
|      2022 | 96-42103-10081 | 2016-3-26     | 2016-3-30    |
|      2022 | 96-42103-10093 | 06/11/2016    |              |
|      2022 | 96-42103-10093 | 2016-3-27     | 2016-3-29    |
|      2022 | 96-42103-10109 | 2016-4-16     | 06/11/2016   |
|      2022 | 96-42103-10502 | 2016-3-26     | 2016-4-1     |
|      2022 | 96-42103-11003 | 2016-6-1      | 06/11/2016   |
+-----------+----------------+---------------+--------------+
130 rows in set (0.001 sec)

+-----------+------------+-----------+----------------+---------------------------+
| Last_Name | first_name | member_ID | ISBN           | title                     |
+-----------+------------+-----------+----------------+---------------------------+
| Barimen   | Dworkin    |      1800 | 96-42103-10093 | Fixing Computers          |
| Harris    | Xander     |      2022 | 96-42103-10093 | Fixing Computers          |
| Kwon      | Sun        |      2011 | 96-42103-10006 | Last Train to Clarksville |
| Locke     | John       |      2012 | 96-42103-10604 | Using the Library         |
| Ramjet    | Roger      |      1400 | 96-42103-10022 | Challenging Puzzles       |
| Wyatt     | Leo        |      2020 | 96-42103-10709 | Too Many Cooks            |
+-----------+------------+-----------+----------------+---------------------------+
6 rows in set (0.001 sec)

MariaDB [jtyndale]> 

